Word,Ham Count,Spam Count,Total Count,Spam Ratio
the,182369,108358,290727,0.373
to,129788,83271,213059,0.391
and,83450,74024,157474,0.47
of,77632,70803,148435,0.477
a,65425,52640,118065,0.446
in,60698,45914,106612,0.431
for,49831,34582,84413,0.41
you,34584,47467,82051,0.579
is,38242,33284,71526,0.465
thi,29003,34895,63898,0.546
enron,60917,3,60920,0.0
on,41699,17842,59541,0.3
that,35649,21249,56898,0.373
i,37127,19361,56488,0.343
it,33814,19783,53597,0.369
s,36225,16328,52553,0.311
be,29660,21029,50689,0.415
your,13665,34553,48218,0.717
subject,28680,19216,47896,0.401
with,27231,20388,47619,0.428
we,25706,18100,43806,0.413
have,25251,15168,40419,0.375
as,22463,17811,40274,0.442
from,22930,16608,39538,0.42
will,25828,13199,39027,0.338
are,19906,17305,37211,0.465
ect,35331,341,35672,0.01
or,15954,18665,34619,0.539
at,22287,10819,33106,0.327
not,15724,15768,31492,0.501
by,20391,11013,31404,0.351
compani,14757,13969,28726,0.486
our,9614,16029,25643,0.625
com,12585,11617,24202,0.48
if,15486,8326,23812,0.35
all,10099,11604,21703,0.535
pleas,13344,7752,21096,0.367
can,10752,9552,20304,0.47
an,11652,8587,20239,0.424
ha,12444,7596,20040,0.379
wa,11780,6044,17824,0.339
hou,16946,319,17265,0.018
ani,9166,7709,16875,0.457
me,10406,6136,16542,0.371
e,6773,9192,15965,0.576
time,9160,6671,15831,0.421
price,8316,7444,15760,0.472
would,12534,2995,15529,0.193
no,5764,9765,15529,0.629
new,9899,5375,15274,0.352
inform,6170,8864,15034,0.59
market,10042,4987,15029,0.332
more,6780,7986,14766,0.541
do,6852,7245,14097,0.514
my,5969,8016,13985,0.573
am,11467,2502,13969,0.179
busi,7801,6095,13896,0.439
but,8612,4783,13395,0.357
may,6949,6221,13170,0.472
get,6225,6921,13146,0.526
t,6673,6316,12989,0.486
need,7895,4686,12581,0.372
re,9799,2757,12556,0.22
which,7665,4755,12420,0.383
one,6145,6201,12346,0.502
up,7308,4890,12198,0.401
thank,9385,2762,12147,0.227
about,7882,4257,12139,0.351
ga,9343,2689,12032,0.223
been,7225,4698,11923,0.394
said,10836,1049,11885,0.088
they,8003,3610,11613,0.311
out,5699,5813,11512,0.505
report,6230,5275,11505,0.458
energi,9942,1536,11478,0.134
us,5006,6422,11428,0.562
year,7590,3829,11419,0.335
mail,4466,6942,11408,0.609
http,2392,8784,11176,0.786
email,2523,8598,11121,0.773
trade,8717,2296,11013,0.208
here,2774,8211,10985,0.747
messag,7107,3856,10963,0.352
day,6546,4312,10858,0.397
use,5273,5552,10825,0.513
deal,9607,1066,10673,0.1
other,5912,4683,10595,0.442
forward,7028,3505,10533,0.333
stock,5011,5485,10496,0.523
manag,7758,2692,10450,0.258
secur,2788,7491,10279,0.729
he,7565,2672,10237,0.261
work,6433,3640,10073,0.361
know,7284,2626,9910,0.265
servic,5471,4241,9712,0.437
their,6058,3641,9699,0.375
pm,9406,270,9676,0.028
like,5921,3649,9570,0.381
power,8079,1485,9564,0.155
invest,3194,6352,9546,0.665
these,5224,4317,9541,0.452
product,3665,5807,9472,0.613
make,4691,4745,9436,0.503
cc,9285,105,9390,0.011
there,6163,3179,9342,0.34
now,3550,5737,9287,0.618
also,6315,2918,9233,0.316
look,4160,5067,9227,0.549
onli,3287,5763,9050,0.637
so,5498,3493,8991,0.388
what,5395,3365,8760,0.384
over,3960,4787,8747,0.547
provid,4170,4553,8723,0.522
go,4465,4216,8681,0.486
vinc,8623,32,8655,0.004
m,4575,4067,8642,0.471
week,6411,1974,8385,0.235
hi,4609,3764,8373,0.45
some,5887,2451,8338,0.294
d,4771,3340,8111,0.412
includ,4269,3720,7989,0.466
statement,1046,6920,7966,0.869
corp,7474,482,7956,0.061
call,6127,1789,7916,0.226
number,3586,4328,7914,0.547
want,3994,3842,7836,0.49
share,4940,2835,7775,0.365
million,4322,3445,7767,0.444
www,2346,5403,7749,0.697
receiv,3118,4608,7726,0.596
into,4371,3298,7669,0.43
meet,6789,838,7627,0.11
o,2408,5192,7600,0.683
should,5158,2426,7584,0.32
offic,4869,2694,7563,0.356
group,6217,1205,7422,0.162
just,3351,4070,7421,0.548
inc,3892,3507,7399,0.474
offer,2517,4874,7391,0.659
rate,5478,1889,7367,0.256
account,2693,4654,7347,0.633
could,4611,2733,7344,0.372
who,4472,2859,7331,0.39
list,3822,3494,7316,0.478
see,4411,2844,7255,0.392
oper,5067,2148,7215,0.298
